0.0,19.6,50.0,370.0
0.1,19.600333333,50.000416667,370.042
0.2,19.600666667,50.000833333,370.083
0.3,19.601,50.00125,370.125
0.4,19.601333333,50.001666667,370.167
0.5,19.601666667,50.002083333,370.208
0.6,19.602,50.0025,370.25
0.7,19.602333333,50.002916667,370.292
0.8,19.602666667,50.003333333,370.333
0.9,19.603,50.00375,370.375
1.0,19.603333333,50.004166667,370.417
1.1,19.603666667,50.004583333,370.458
1.2,19.604,50.005,370.5
1.3,19.604333333,50.005416667,370.542
1.4,19.604666667,50.005833333,370.583
1.5,19.605,50.00625,370.625
1.6,19.605333333,50.006666667,370.667
1.7,19.605666667,50.007083333,370.708
1.8,19.606,50.0075,370.75
1.9,19.606333333,50.007916667,370.792
2.0,19.606666667,50.008333333,370.833
2.1,19.607,50.00875,370.875
2.2,19.607333333,50.009166667,370.917
2.3,19.607666667,50.009583333,370.958
2.4,19.608,50.01,371.0
2.5,19.608333333,50.010416667,371.042
2.6,19.608666667,50.010833333,371.083
2.7,19.609,50.01125,371.125
2.8,19.609333333,50.011666667,371.167
2.9,19.609666667,50.012083333,371.208
3.0,19.61,50.0125,371.25
3.1,19.610333333,50.012916667,371.292
3.2,19.610666667,50.013333333,371.333
3.3,19.611,50.01375,371.375
3.4,19.611333333,50.014166667,371.417
3.5,19.611666667,50.014583333,371.458
3.6,19.612,50.015,371.5
3.7,19.612333333,50.015416667,371.542
3.8,19.612666667,50.015833333,371.583
3.9,19.613,50.01625,371.625
4.0,19.613333333,50.016666667,371.667
4.1,19.613666667,50.017083333,371.708
4.2,19.614,50.0175,371.75
4.3,19.614333333,50.017916667,371.792
4.4,19.614666667,50.018333333,371.833
4.5,19.615,50.01875,371.875
4.6,19.615333333,50.019166667,371.917
4.7,19.615666667,50.019583333,371.958
4.8,19.616,50.02,372.0
4.9,19.616333333,50.020416667,372.042
5.0,19.616666667,50.020833333,372.083
5.1,19.617,50.02125,372.125
5.2,19.617333333,50.021666667,372.167
5.3,19.617666667,50.022083333,372.208
5.4,19.618,50.0225,372.25
5.5,19.618333333,50.022916667,372.292
5.6,19.618666667,50.023333333,372.333
5.7,19.619,50.02375,372.375
5.8,19.619333333,50.024166667,372.417
5.9,19.619666667,50.024583333,372.458
6.0,19.62,50.025,372.5
6.1,19.620333333,50.025416667,372.542
6.2,19.620666667,50.025833333,372.583
6.3,19.621,50.02625,372.625
6.4,19.621333333,50.026666667,372.667
6.5,19.621666667,50.027083333,372.708
6.6,19.622,50.0275,372.75
6.7,19.622333333,50.027916667,372.792
6.8,19.622666667,50.028333333,372.833
6.9,19.623,50.02875,372.875
7.0,19.623333333,50.029166667,372.917
7.1,19.623666667,50.029583333,372.958
7.2,19.624,50.03,373.0
7.3,19.624333333,50.030416667,373.042
7.4,19.624666667,50.030833333,373.083
7.5,19.625,50.03125,373.125
7.6,19.625333333,50.031666667,373.167
7.7,19.625666667,50.032083333,373.208
7.8,19.626,50.0325,373.25
7.9,19.626333333,50.032916667,373.292
8.0,19.626666667,50.033333333,373.333
8.1,19.627,50.03375,373.375
8.2,19.627333333,50.034166667,373.417
8.3,19.627666667,50.034583333,373.458
8.4,19.628,50.035,373.5
8.5,19.628333333,50.035416667,373.542
8.6,19.628666667,50.035833333,373.583
8.7,19.629,50.03625,373.625
8.8,19.629333333,50.036666667,373.667
8.9,19.629666667,50.037083333,373.708
9.0,19.63,50.0375,373.75
9.1,19.630333333,50.037916667,373.792
9.2,19.630666667,50.038333333,373.833
9.3,19.631,50.03875,373.875
9.4,19.631333333,50.039166667,373.917
